Word,Level,Weight,Length,Start,End
cure,1,27.74002903,1,2009,2009
preg,1,20.28407745,1,2009,2009
nauseat,1,18.67048324,1,2009,2009
menstruel,1,14.90825986,1,2009,2009
puberti,1,14.21057441,1,2010,2010
menstrul,1,13.45418401,1,2009,2009
menstual,1,10.11257649,1,2009,2009
menstrat,1,6.522923478,1,2009,2009
nausiat,1,6.516192462,1,2012,2012
stumic,1,6.013712566,2,2011,2012
burrow,1,5.999501886,1,2012,2012
milki,1,5.890291783,1,2012,2012
trainer,1,5.648609133,2,2011,2012
crampz,1,5.630356681,1,2009,2009
backac,1,5.531975098,2,2011,2012
flu,1,5.453859613,1,2009,2009
meat,1,5.43230754,1,2009,2009
ammonia,1,5.345159591,1,2009,2009
tissu,1,5.280268486,1,2012,2012
blowd,1,5.246593367,1,2012,2012
fatigu,1,5.229957261,1,2009,2009
sport,1,5.206475584,1,2009,2009
killer,1,5.137889063,1,2009,2009
mucus,1,5.053583325,1,2012,2012
childbirth,1,5.026285524,1,2009,2009
bruis,1,4.75092337,1,2009,2009
swine,1,4.733191921,1,2009,2009
suicid,1,4.722140936,2,2011,2012
honey,1,4.70649073,1,2012,2012
hurttin,1,4.612143642,2,2011,2012
growl,1,4.584516136,1,2012,2012
vein,1,4.54670795,1,2010,2010
womb,1,4.19248404,1,2012,2012
ulov,1,4.189487208,2,2009,2010
couch,1,4.187862569,1,2010,2010
sum,1,4.1824713,2,2009,2010
taken,1,4.174103683,1,2009,2009
2b,1,4.15442789,1,2010,2010
iud,1,4.138962895,1,2012,2012
ridin,1,4.120992502,1,2010,2010
live.laugh.lov,1,4.054119601,1,2010,2010
charli,1,4.046014661,1,2009,2009
peri0d,1,4.04590673,1,2009,2009
hapen,1,4.040025028,1,2009,2009
erika,1,4.040025028,1,2009,2009
kylara&dustin,1,4.035604014,2,2011,2012
amyros,1,4.035604014,2,2011,2012
babie,1,4.035604014,2,2011,2012
kinnerz,1,4.035604014,2,2011,2012
minstrel,1,4.027657427,1,2012,2012
hi,1,4.014113607,1,2009,2009
explan,1,4.008241118,1,2009,2009
heard,1,3.9764401,1,2009,2009
rella,1,3.958821864,1,2009,2009
peaceuloveubasketbal,1,3.958292946,1,2010,2010
3jeremi,1,3.958292946,1,2010,2010
erni,1,3.958292946,1,2010,2010
rissa,1,3.958292946,1,2010,2010
m,1,3.94486454,1,2009,2009
hick,1,3.929676677,1,2012,2012
anti,1,3.927031381,1,2009,2009
carriag,1,3.927031381,1,2009,2009
babyy,1,3.924858776,1,2010,2010
5-Apr,1,3.924858776,1,2010,2010
x3,1,3.918964922,2,2011,2012
15th,1,3.912297197,2,2011,2012
countrystrong,1,3.888836801,1,2012,2012
leak,1,3.867504571,1,2012,2012
tramadol,1,3.85063338,2,2011,2012
oo,1,3.835248814,2,2009,2010
jessica,1,3.82004212,1,2010,2010
blote,1,3.808147435,1,2009,2009
ibeprofin,1,3.800456267,1,2012,2012
3.20.12,1,3.797993977,1,2012,2012
hig&dwm,1,3.797993977,1,2012,2012
l.a.p,1,3.797993977,1,2012,2012
j.r.h,1,3.797993977,1,2012,2012
ashley&ryan,1,3.797993977,1,2012,2012
9/8/2011,1,3.797993977,1,2012,2012
parker,1,3.797993977,1,2012,2012
sharpsten,1,3.797993977,1,2012,2012
rito&cristina,1,3.795650197,2,2011,2012
ed,1,3.791115011,1,2010,2010
kat,1,3.791115011,1,2010,2010
lindsey,1,3.782461264,2,2009,2010
provera,1,3.7814271,1,2012,2012
weather,1,3.77047029,1,2009,2009
diagnosi,1,3.77047029,1,2009,2009
areola,1,3.769356233,1,2012,2012
0f,1,3.764610467,1,2009,2009
boyfriendwa,1,3.747336522,2,2011,2012
g.r.i.t.,1,3.747336522,2,2011,2012
wife,1,3.745565495,1,2012,2012
limb,1,3.74066629,2,2011,2012
3ratb,1,3.74066629,2,2011,2012
kelso,1,3.738255036,1,2012,2012
wanna,1,3.735928967,1,2009,2009
mo,1,3.726934387,1,2009,2009
diahria,1,3.724238875,1,2010,2010
christma,1,3.709612125,1,2012,2012
crampton,1,3.695105752,1,2009,2009
wil,1,3.689254891,1,2009,2009
creami,1,3.683389297,1,2012,2012
dayquil,1,3.678513546,1,2012,2012
3s,1,3.677538952,1,2009,2009
52209,1,3.671673877,1,2009,2009
sarina,1,3.671673877,1,2009,2009
hopefaithlov,1,3.671673877,1,2009,2009
jhw,1,3.671673877,1,2009,2009
cskd,1,3.671673877,1,2009,2009
vlb,1,3.671673877,1,2009,2009
anw&zjw,1,3.647413803,1,2012,2012
cah,1,3.647413803,1,2012,2012
court,1,3.634004404,1,2009,2009
bitc,1,3.628425333,1,2010,2010
gabi,1,3.628425333,1,2010,2010
d&m,1,3.628425333,1,2010,2010
iva,1,3.628425333,1,2010,2010
kjh,1,3.628425333,1,2010,2010
kmj,1,3.628425333,1,2010,2010
mja,1,3.628425333,1,2010,2010
akmr,1,3.628425333,1,2010,2010
sky,1,3.628425333,1,2010,2010
banna,1,3.5904781,1,2010,2010
whyme,1,3.590470662,1,2009,2009
nita,1,3.587672381,1,2012,2012
mcl,1,3.561553051,1,2010,2010
girlu,1,3.552798838,1,2009,2009
nigga,1,3.528115847,1,2010,2010
v,1,3.526822651,1,2009,2009
uu,1,3.526822651,1,2009,2009
today,1,3.525307619,1,2009,2009
ilovechri,1,3.514054396,2,2011,2012
9,1,3.511531588,2,2009,2010
asherbean,1,3.496832738,1,2012,2012
10/22/2011,1,3.496832738,1,2012,2012
ul,1,3.481019601,2,2009,2010
ss,1,3.471592792,1,2009,2009
ruptur,1,3.468181888,1,2012,2012
talk,1,3.463106164,1,2009,2009
oxox,1,3.459070579,2,2011,2012
foreva,1,3.459070579,2,2011,2012
get.it.2geth,1,3.459070579,2,2011,2012
myboo,1,3.459070579,2,2011,2012
codyglenn,1,3.459070579,2,2011,2012
wast,1,3.439522088,1,2012,2012
lift,1,3.439522088,1,2012,2012
jon,1,3.437088835,1,2012,2012
rl,1,3.433915202,1,2009,2009
actual,1,3.433198812,1,2009,2009
b4,1,3.428301091,1,2009,2009
msb,1,3.428062792,1,2009,2009
intern,1,3.410853334,1,2012,2012
dysmennorrhoea,1,3.408432818,1,2012,2012
carter,1,3.397410793,2,2011,2012
havn,1,3.396234198,1,2009,2009
