Word,Level,Weight,Length,Start,End
pick,1,2.1509917255848245,1,2012,
0,1,1.952666486982809,1,2010,2010
roll,1,2.2612513269129684,1,2010,2010
c,1,2.825049808168454,1,2009,2009
p,1,3.343713096217348,1,2010,2010
x,1,3.4957927399316215,1,2010,2010
muscal,1,1.6187339579694453,1,2010,2010
serious,1,2.4688237580648495,1,2012,
root,1,2.1946691278912103,1,2012,
hesaidshesaid,1,1.7480239087285292,1,2009,2009
energi,1,6.022969371579714,1,2009,2009
pizzichillo,1,2.574858851106045,2,2011,
cmh,1,1.669467006604314,1,2010,2010
newberg,1,2.6071117077091137,2,2011,
question,1,2.5541134535620467,1,2009,2009
i.love.briana,1,2.330727848658734,1,2009,2009
colonoscopi,1,1.7480239087285292,1,2009,2009
workin,1,1.9019373423965975,1,2010,2010
savannah,1,1.9552474991947166,2,2011,
monthley,1,1.7480239087285292,1,2009,2009
dad,1,4.085577440886882,2,2011,
f&a,1,2.2866071158303853,1,2010,2010
awesom,1,1.888820412487438,1,2009,2009
def,1,7.128079020883613,1,2009,2009
strep,1,1.644101848346538,1,2010,2010
spotti,1,2.7866390428592283,1,2012,
die,1,3.3197222770519623,1,2009,2009
3lostinlovewithyou,1,5.343035564205112,1,2012,
heavier,1,3.396967214511453,1,2009,2009
relat,1,2.625625445505289,1,2009,2009
oxycodon,1,2.035766945000742,1,2012,
joshua,1,2.337310498468095,1,2010,2010
1/26/11,1,3.8624750411385866,2,2011,
relev,1,1.7284584128491787,1,2009,2009
dsk,1,6.345051883165333,1,2010,2010
dur,1,3.3632784718201236,1,2012,
band,1,3.720546137861424,1,2009,2009
11,1,1.8746535972162572,1,2012,
19,1,1.775544843133904,1,2012,
apr33,1,1.7480239087285292,1,2009,2009
quinin,1,1.7783362771443714,1,2009,2009
32,1,2.093377695519063,1,2012,
4-6-11,1,2.25297425993963,2,2011,
36,1,5.530841336636614,1,2012,
40,1,1.787195076150296,2,2009,2010
stds,1,3.5375846924797827,1,2012,
love4-ev,1,3.2186513804606065,2,2011,
3i,1,3.1197895734510004,2,2011,
basi,1,1.6678492310444657,1,2009,2009
diahrea,1,1.9059832554328704,1,2010,2010
matt,1,1.9191420676950068,1,2009,2009
trent,1,2.25297425993963,2,2011,
sperm,1,2.192064100869138,1,2009,2009
thinner,1,1.6375455440229856,1,2009,2009
yeah,1,2.210531552237847,1,2010,2010
trick,1,1.6179510875586125,1,2009,2009
nerd,1,1.669467006604314,1,2010,2010
eye,1,1.804379608440076,1,2010,2010
stuck,1,1.8389628262918376,1,2009,2009
shawti,1,1.6375455440229856,1,2009,2009
allevi,1,5.642011606856396,1,2009,2009
cervix,1,2.392322127426686,1,2010,2010
grls,1,1.644101848346538,1,2010,2010
effect,1,8.141693028513366,1,2009,2009
diem,1,2.003384703004696,1,2010,2010
fit,1,2.010617805242718,2,2009,2010
ad,1,2.844288209032304,1,2012,
ap,1,3.005186387840526,1,2010,2010
h1n1,1,1.7480239087285292,1,2009,2009
cl,1,1.644101848346538,1,2010,2010
flu,1,3.0765273772412636,1,2009,2009
cr,1,1.7480239087285292,1,2009,2009
partner,1,1.9019373423965975,1,2010,2010
11th,1,3.263330571136273,1,2012,
scare,1,1.6742122719451662,1,2012,
dy,1,2.6713505601407626,1,2012,
ev,1,1.6375455440229856,1,2009,2009
hr,1,1.669467006604314,1,2010,2010
hs,1,1.8192610672290748,1,2012,
foul,1,2.337310498468095,1,2010,2010
iv,1,2.476797574608952,2,2011,
iz,1,1.7783362771443714,1,2009,2009
supplement,1,1.8389628262918376,1,2009,2009
jb,1,1.888820412487438,1,2009,2009
jo,1,8.28974245213157,1,2012,
jr,1,2.0551532488022612,2,2011,
kc,1,1.7480239087285292,1,2009,2009
charli,1,3.2129805626053134,1,2009,2009
lu,1,4.501820048006916,1,2009,2009
lv,1,3.205660803352286,1,2012,
second,1,2.0315402744660425,1,2009,2009
o3,1,3.2186513804606065,2,2011,
mw,1,2.1370536946900627,1,2012,
fwd,1,1.9122486176760072,2,2009,2010
ne,1,2.582037844900306,1,2009,2009
nt,1,2.2866071158303853,1,2010,2010
naseua,1,2.943846835417162,1,2009,2009
q1,1,1.669467006604314,1,2010,2010
ps,1,1.6375455440229856,1,2009,2009
recent,1,5.427935851681614,1,2009,2009
sh,1,1.888820412487438,1,2009,2009
sp,1,4.471304317205968,1,2009,2009
remov,1,2.703538937674182,1,2009,2009
ty,1,2.3535671245959935,1,2012,
ui,1,1.7642350478722326,2,2009,2010
jaredunukari,1,1.669467006604314,1,2010,2010
wt,1,1.6678492310444657,1,2009,2009
3ilysomuchbabie8,1,1.931097450729096,2,2011,
5-0-0,1,1.7480239087285292,1,2009,2009
god,1,3.191535019790951,1,2010,2010
correct,1,1.8086492499255309,1,2009,2009
sk8boarder,1,1.7480239087285292,1,2009,2009
heavey,1,1.6375455440229856,1,2009,2009
abdoman,1,3.0749177087769137,1,2012,
gonna,1,2.7058912718929076,1,2009,2009
virgina,1,1.8816414186931771,2,2011,
debbi,1,1.931097450729096,2,2011,
lesser,1,1.6375455440229856,1,2009,2009
12.10.10,1,1.931097450729096,2,2011,
menstraul,1,2.70900789705831,1,2009,2009
urawru,1,1.7480239087285292,1,2009,2009
hey,1,4.181844171989005,1,2009,2009
okay,1,5.877482795800226,1,2012,
aliev,1,1.6603584744744442,1,2012,
diarria,1,1.978159473907756,1,2012,
hlh,1,7.404061752137137,2,2011,
interior,1,2.501928164856483,1,2009,2009
trigger,1,2.035766945000742,1,2012,
exceris,1,1.8192610672290748,1,2012,
j@i,1,2.574858851106045,2,2011,
meth,1,1.7827173494628443,2,2011,
runnin,1,3.8804674834259947,1,2010,2010
ice,1,2.2543087780532645,1,2009,2009
ilovehim,1,1.8816414186931771,2,2011,
rule,1,1.9417400592034153,2,2009,2010
liquid,1,4.037185315762873,1,2010,2010
ciporah,1,3.005186387840526,1,2010,2010
ili,1,2.603512520622015,1,2010,2010
vinigar,1,2.1370536946900627,1,2012,
negat,1,1.6279478685261175,1,2012,
crampton,1,10.53034982440301,1,2009,2009
restless,1,2.1097799513745947,1,2009,2009
semen,1,4.880793609349446,1,2012,
sensit,1,5.065887841786946,1,2009,2009
jae,1,2.25297425993963,2,2011,
jaw,1,2.525701206585534,1,2009,2009
jdm,1,1.9780269609014614,1,2010,2010
jen,1,1.931097450729096,2,2011,
consum,1,2.532294449549907,1,2009,2009
worst,1,2.0921637935547786,1,2009,2009
street,1,2.2035250095766195,2,2011,
8min,1,1.7480239087285292,1,2009,2009
blead,1,1.9019373423965975,1,2010,2010
brandon,1,1.644101848346538,1,2010,2010
jon,1,2.979850896505435,1,2010,2010
mommi,1,3.1692224772466577,2,2011,
joy,1,2.2202553551558375,1,2009,2009
jrg,1,3.2186513804606065,2,2011,
jrq,1,2.003384703004696,1,2010,2010
crampionship,1,1.7480239087285292,1,2009,2009
l8r,1,1.7480239087285292,1,2009,2009
311.15.09,1,2.8967512245121556,2,2011,
9-15-10,1,3.8624750411385866,2,2011,
kay,1,2.9038280356853257,1,2010,2010
kati,1,5.651737830275533,1,2010,2010
kgb,1,1.7480239087285292,1,2009,2009
kjv,1,1.669467006604314,1,2010,2010
wear,1,2.010110660836916,1,2009,2009
kmm,1,1.669467006604314,1,2010,2010
16th,1,1.6375455440229856,1,2009,2009
leah,1,2.003384703004696,1,2010,2010
74w3stside74,1,2.6712443933143293,1,2010,2010
lead,1,1.820893702534951,1,2009,2009
ruless,1,1.669467006604314,1,2010,2010
unicorn&glitt,1,1.669467006604314,1,2010,2010
fifth,1,1.669467006604314,1,2010,2010
b.u.g,1,1.669467006604314,1,2010,2010
pilot,1,2.25297425993963,2,2011,
bryan,1,3.3391364823620346,1,2010,2010
west,1,1.7480239087285292,1,2009,2009
thirsti,1,1.888820412487438,1,2009,2009
floor,1,2.3770649695600135,2,2011,
lee,1,2.3675351099033763,1,2012,
medican,1,2.361084228734079,1,2009,2009
lkl,1,19.24119134922443,1,2012,
throwin,1,2.140118969983294,1,2009,2009
lll,1,1.7480239087285292,1,2009,2009
lne,1,2.25297425993963,2,2011,
medicin,1,12.761442860220015,1,2009,2009
superman,1,2.361084228734079,1,2009,2009
luv,1,2.9245503729270883,1,2009,2009
lux,1,2.501928164856483,1,2009,2009
lesbian,1,1.8816414186931771,2,2011,
lyk,1,2.2202553551558375,1,2009,2009
fuhrm,1,1.931097450729096,2,2011,
field,1,2.1097799513745947,1,2009,2009
hannah,1,2.140118969983294,1,2009,2009
bigman,1,2.003384703004696,1,2010,2010
bless,1,1.7179500199865632,1,2012,
mec,1,2.847315538564814,2,2011,
mhm,1,2.1370536946900627,1,2012,
tyler&kati,1,2.003384703004696,1,2010,2010
n.l.4l,1,2.003384703004696,1,2010,2010
forevermor,1,2.003384703004696,1,2010,2010
ashley,1,6.758849599493278,1,2012,
tigger&poohbear,1,2.003384703004696,1,2010,2010
sweet,1,2.6427871659668964,1,2009,2009
madridista,1,1.7480239087285292,1,2009,2009
jericko,1,1.7480239087285292,1,2009,2009
jame,1,1.8192610672290748,1,2012,
chelsea,1,2.5445025346796797,1,2010,2010
diarhea,1,2.371999941904039,1,2009,2009
alivia,1,3.7399844248391148,1,2012,
nji,1,6.345051883165333,1,2010,2010
njs,1,1.669467006604314,1,2010,2010
cardin,1,1.7480239087285292,1,2009,2009
recommend,1,1.8816414186931771,2,2011,
fulli,1,3.1647887070154663,1,2009,2009
non,1,1.9022146342399129,1,2012,
allergi,1,1.6678492310444657,1,2009,2009
philippians4,1,2.2202553551558375,1,2009,2009
3carolyn,1,3.3391364823620346,1,2010,2010
vero,1,2.1370536946900627,1,2012,
whts,1,1.6837772704865053,2,2011,
provent,1,1.6187339579694453,1,2010,2010
claim,1,2.5124609352906733,1,2012,
oil,1,2.140118969983294,1,2009,2009
noel,1,3.8624750411385866,2,2011,
omi,1,2.25297425993963,2,2011,
3bradi,1,2.25297425993963,2,2011,
problem,1,3.7843210470593327,1,2009,2009
lift,1,5.1269957569818025,1,2009,2009
